ID,HomeCountry,Gender,Responded,Company,Success,Driver,1. Complex PS,2. Critical Thinking,3. Creativity,4. People Mgmt,5. Coord with Others,6. Emotional Int,7. Judgement and D-M,8. Service Orientation,9. Negotiation,10. Cognitive Flexibility
1(AN),Morocco,F,1,Intel,YouTube Team,"Climate Change, Nat Res",3,5,2,3,3,1,5,1,1,4
2(AS),Russia,F,1,Klooway Technologies,Vitaliy Buterin,Women's Econ Power,"1. Persuasion skills - 3
2. Analytical type of thinking skills - 5
3. Programming language skills - 1
4. Emotional intelligence - 5
5. Communication skills - 5
6. IT skills -3
7. Fast learning skills-5
8. Problem solving skills-4
9. Team building skills-2
10. Negotiation skills -5",,,,,,,,,
3(BI),Morocco,M,,,,,,,,,,,,,,
4(BA),UK,M,,,,,,,,,,,,,,
5(BM),Morocco,F,1,AttijariWafa Bank,Oprah Winfrey,Women's Econ Power,1,2,5,5,5,4,4,3,4,4
6(BA),France,F,1,Amazon,Tim Cook,"Consumer Ethics, Privacy",,,,,,,,,,
7(BP),France,F,1,Roland Berger,Elon Musk,"Longevity, Ageing Soc",5,5,4,5,3,4,5,3,4,3
8(BA),Romania,F,1,Pago Ayles Winery,Simona Halep (Tennis Player),Artificial Intelligence,4,5,4,5,5,5,5,5,3,5
9(CI),France,F,1,Zara,Christine Lagarde,Middle Class in E Markets,4,5,3,4,4,5,5,2,4,3
10(CS),Korea (South),F,1,Uber,Risabae (YouTube Blogger),"Consumer Ethics, Privacy",5,5,5,5,5,4,5,4,5,5
11(CK),Hong Kong,F,1,Universal Music Group,Elon Musk,Artificial Intelligence,5,4,2,5,4,2,3,3,4,2
12(CJ),UK,F,1,Amazon,Yuna Kim (Figure Skater),Changing Nature of Work,5,5,1,4,5,2,5,4,5,Quality Control (5)
13(CK),Hong Kong,F,1,The Boring Company,Elon Musk,Women's Econ Power,4,4,5,5,3,3,4,5,2,3
14(CE),Romania,M,1,Tesla,Paul H O'Neill,"Consumer Ethics, Privacy",5,5,4,4,5,4,5,4,5,5
15(CE),UK,M,1,Amazon,Lord Alan Sugar,"Climate Change, Nat Res",3,5,2,4,5,5,5,4,3,5
16(DG),France,M,,,,,,,,,,,,,,
17(DA),France,M,1,Who is georges,Elon Musk,Artificial Intelligence,5,4,4,3,4,2,4,3,Missing Data,Missing Data
18(DE),France,F,,,,,,,,,,,,,,
19(DL),France,M,1,Ocean Clean-up,Henry Ford,"Processing Power, Big Data",4,5,4,4,3,4,5,4,Missing Data,Missing Data
20(DM),Romania,F,1,Johnson & Johnson,Anita Roddick,"Consumer Ethics, Privacy",5,4,5,5,5,5,5,3,2,5
21(EM),Germany,M,1,Uber,Tim Kentley-Klay,"Climate Change, Nat Res",5,5,5,5,4,5,5,4,4,5
22(FH),China,F,1,Alibaba,Kylie Jenner,"Longevity, Ageing Soc",5,4,3,5,4,4,3,3,4,4
23(FJ),Switzerland,M,1,NIO,Jeff Bezos,"Longevity, Ageing Soc",5,5,2,4,5,3,4,5,3,4
24(FD),Romania,F,1,Tesla,Sheryl Sandberg,Changing Nature of Work,5,5,4,3,5,4,4,2,4,3
25(GA),Romania,M,1,Amazon,Ray Dalio,Geopolitical Volatility,5,3,4,3,4,5,5,4,4,5
26(GG),Brunei,F,1,Tesla,Hajah Zainab Omar (HR Dir Brunei Shell Petroleum),Middle Class in E Markets,5,4,3,4,3,3,5,3,4,Quality Control (5)
27(GW),China,F,1,Shanghai Project Banana Co.Ltd,Jack Ma,Changing Nature of Work,5,4,5,3,2,5,3,2,3,4
28(GA),Azerbaijan,F,1,BT,Richard Branson,Changing Nature of Work,5,5,3,3,4,3,5,2,3,4
29(GH),Turkey,M,1,Amazon,Elon Musk,Missing Data,,,,,,,,,,
30(HD),Switzerland,M,1,Implenia,Father (Arturo Henniger),Changing Nature of Work,1,1,2,1,1,1,1,3,1,1
31(HC),Hong Kong,F,1,HMV,Sheryl Sandberg,"Consumer Ethics, Privacy",5,4,5,4,4,5,2,3,4,3
32(IY),Turkey,F,1,Walmart,Mark Zuckerberg,"Climate Change, Nat Res",5,5,3,5,3,3,5,4,2,5
33(IN),Hong Kong,F,1,Uber,Ellen DeGeneres,Changing Nature of Work,4,4,3,5,4,2,5,3,4,3
34(IC),Lebanon,F,,,,,,,,,,,,,,
35(JE),France,M,1,B&B Hotels,Henry Ford,Middle Class in E Markets,4,5,5,5,5,3,5,4,4,5
36(JX),China,M,,,,,,,,,,,,,,
37(KS),China,F,,,,,,,,,,,,,,
38(KO),France,F,1,Tesla,Simone Veil,"Climate Change, Nat Res",5,5,3,4,5,5,5,4,5,5
39(LY),Korea (South),F,1,Netflix,Elon Musk,"Consumer Ethics, Privacy",5,5,2,3,3,3,5,3,4,2
40(LS),Macao,F,1,Sans Cotai Central,Abraham Lincoln,"Climate Change, Nat Res",4,2,3,5,4,2,3,3,4,3
41(LZ),UK,M,1,Amazon,Richard Branson,Changing Nature of Work,5,4,3,4,5,5,5,3,4,5
42(LY),China,F,1,Amazon,Wang Xing (CEO meituan.com),"Longevity, Ageing Soc",5,5,4,5,5,5,5,Missing Data,5,4
43(LM),Italy,M,1,British Airways,Vincenzo Ursillo,Geopolitical Volatility,4,5,3,3,3,5,4,4,2,5
44(LZ),UK,M,1,IBM,Elon Musk,"Climate Change, Nat Res",5,4,5,4,4,4,4,3,3,3
45(LW),China,M,1,JD.com,Steve Jobs,Changing Nature of Work,4,5,3,3,4,4,5,2,3,3
46(LR),Hong Kong,M,1,ServiceNow,Mark Cuban,"Climate Change, Nat Res",5,5,5,3,4,3,4,3,3,5
47(MM),Hungary,M,1,Bain,Warren Buffett,"Consumer Ethics, Privacy",5,5,4,5,4,5,4,5,4,5
48(MJ),France,F,1,Airbnb,JK Rowling,"Climate Change, Nat Res",4,4,5,4,4,5,4,3,3,5
49(MN),Slovakia,F,1,Amazon,JK Rowling,Artificial Intelligence,5,5,4,4,3,Missing Data,5,3,3,5
50(MD),UK,M,1,Tesla,Elon Musk,Middle Class in E Markets,4,4,4,4,5,3,4,4,5,4
51(MN),Lebanon,M,1,Tesla,Elon Musk,Geopolitical Volatility,5,5,5,5,5,5,5,1,5,5
52(NT),Lebanon,F,1,Amazon,Jeff Bezos,"Climate Change, Nat Res",5,5,4,5,5,3,5,4,5,4
53(OI),Morocco,M,1,Amazon,Brother,Women's Econ Power,"Industries overall 5 Financial services and investor 5 Consumer 4.5 Information and Communication Technology 4 Basic and Infrastructure 3.5 Media, Entertainment and information 3.5 Energy  3 Professional services 2.5 Healthcare 2
",,,,,,,,,
54(PC),Spain,F,1,Henn-na Hotel,Satoshi Nakamoto,"Climate Change, Nat Res",5,5,5,5,4,2,5,3,4,3
55(PM),Singapore,F,1,International SOS,Oprah Winfrey,Women's Econ Power,5,4,3,4,4,5,4,3,2,5
56(PJ),UK,M,1,CloudPassage,Henry Ford,Women's Econ Power,4,3,3,4,3,3,5,3,4,4
57(PA),UK,M,,,,,,,,,,,,,,
58(PD),UK,F,1,Unilever,Steve Jobs,"Climate Change, Nat Res",5,3,3,5,5,5,4,5,4,4.5
59(QH),China,F,1,McDonalds,Muhammad Yunus,Young Demog in E-M,4,5,3,3,4,4,5,2,3,5
60(RV),India,M,,,,,,,,,,,,,,
61(RZ),China,F,1,Tesla,Hu Weiwei,Stability,4,4,4,4,5,4,3,Missing Data,5,5
62(RN),Colombia,M,1,Amazon,Elon Musk,Changing Nature of Work,4,3,5,5,4,2,4,2,,
63(RD),UK,F,1,Amazon,Steve Jobs,"Climate Change, Nat Res",5,4,3,3,5,4,5,3,4,4
64(RG),France,M,,,,,,,,,,,,,,
65(RL),France,F,1,Caterpillar,Xiavier Niel (Iliad),Middle Class in E Markets,5,5,4,5,5,4,5,3,4,4
66(RN),Thailand,F,,,,,,,,,,,,,,
67(SM),Hungary,F,1,Airbnb,Elon Musk,Middle Class in E Markets,5,5,5,4,4,3,3,4,3,3
68(SW),Hong Kong,F,1,Apple,Jay Chou (Singer),"Climate Change, Nat Res",5,5,3,4,5,4,4,3,3,3
69(SR),UK,M,,Amazon,Jeff Bezos,Artificial Intelligence,4,5,5,4,4,3,3,3,Missing Data,4
70(SM),Hong Kong,M,,,,,,,,,,,,,,
71(SK),Denmark,F,,,,,,,,,,,,,,
72(TS),UK,M,1,Tesla,Steve Jobs,Changing Nature of Work,5,5,4,4,4,4,4,3,3,5
73(TT),Hong Kong,M,1,Uber,Sidney Weinberg,"Consumer Ethics, Privacy",4,4,5,4,4,5,5,5,5,5
74(TT),Hong Kong,F,1,Tesla,Jack Ma,Changing Nature of Work,4,4,5,3,3,4,4,3,4,4
75(UP),Thailand,M,1,Toyota,Mark Parker,Changing Nature of Work,"Cognitive Abilities: 3
System Skills: Short term 4 Long term 3 
Complex Problem Solving: 5 
Content Skills: 4 
Process Skills: 4 
Social Skills: 4 
Resource Management Skills: 4 
Technical Skills:4 
Physical Abilities: 1",,,,,,,,,
76(VJ),UK,M,1,Tesla,Rodger Federer,"Consumer Ethics, Privacy",4,4,3,5,4,4,4,3,3,4
77(VM),Ukraine,M,1,Amazon,Elon Musk,"Longevity, Ageing Soc",5,5,3,4,3,2,5,5,4,5
78(VJ),Norway,M,1,Uber,Kjell Inge Rokke,Middle Class in E Markets,4,5,5,4,5,5,5,3,4,4
79(WM),China,F,1,Alibaba,Jack Ma,Changing Nature of Work,1.Complex problem solving 2.Judgment and decision making 3.Critical thinking 4.People management 5.Creativity 6.Coordinating with others 7.Emotional intelligence 8.Service orientation,,,,,,,,,
80(XL),China,F,1,Royal Marsden Hospital,Jack Ma,Changing Nature of Work,5,4,3,4,5,4,4,3,3,4
81(YY),Korea (South),M,,,,,,,,,,,,,,
82(YJ),UK,F,1,Huawei,Ren Zhengfei (Huawei),Women's Econ Power,3,2,3,5,4,5,4,5,5,1
83(ZS),China,F,1,Alibaba,Jack Ma,Missing Data,3,4,3,3,3,5,4,4,5,3
84(ZZ),China,F,1,Google,Jack Ma,"Climate Change, Nat Res",4,3,2,2,4,3,4,2,4,3
85(ZZ),China,M,1,Alibaba Cloud,Wang Sicong (Founder Panda TV),Young Demog in E-M,5,5,5,3,3,5,5,3,3,3
86(ZY),Spain,F,1,Zara,Jack Ma,Changing Nature of Work,5,5,4,4,5,4,5,Quality Control (5),5,3